sample_id,feature,value_source,source_url,access_date,status
1,latitude/longitude,Balaghat Mine Subsidence Report (forestsclearance.nic.in); MOIL,https://forestsclearance.nic.in/writereaddata/FormA/Miningletter/111712131216T21YOSubsidencereportBalaghatmine.pdf,2026-09-05,REAL
1,district/state,Balaghat Mine Subsidence Report (forestsclearance.nic.in); MOIL,https://forestsclearance.nic.in/writereaddata/FormA/Miningletter/111712131216T21YOSubsidencereportBalaghatmine.pdf,2026-09-05,REAL
1,geological_group,Balaghat Mine Subsidence Report (forestsclearance.nic.in); MOIL,https://forestsclearance.nic.in/writereaddata/FormA/Miningletter/111712131216T21YOSubsidencereportBalaghatmine.pdf,2026-09-05,REAL
1,formation,Balaghat Mine Subsidence Report (forestsclearance.nic.in); MOIL,https://forestsclearance.nic.in/writereaddata/FormA/Miningletter/111712131216T21YOSubsidencereportBalaghatmine.pdf,2026-09-05,REAL
1,host_rock,Balaghat Mine Subsidence Report (forestsclearance.nic.in); MOIL,https://forestsclearance.nic.in/writereaddata/FormA/Miningletter/111712131216T21YOSubsidencereportBalaghatmine.pdf,2026-09-05,REAL
1,ore_type,Balaghat Mine Subsidence Report (forestsclearance.nic.in); MOIL,https://forestsclearance.nic.in/writereaddata/FormA/Miningletter/111712131216T21YOSubsidencereportBalaghatmine.pdf,2026-09-05,REAL
1,structural_notes,Balaghat Mine Subsidence Report (forestsclearance.nic.in); MOIL,https://forestsclearance.nic.in/writereaddata/FormA/Miningletter/111712131216T21YOSubsidencereportBalaghatmine.pdf,2026-09-05,REAL
1,geological_age,Balaghat Mine Subsidence Report (forestsclearance.nic.in); MOIL,https://forestsclearance.nic.in/writereaddata/FormA/Miningletter/111712131216T21YOSubsidencereportBalaghatmine.pdf,2026-09-05,REAL
1,metamorphic_grade,Balaghat Mine Subsidence Report (forestsclearance.nic.in); MOIL,https://forestsclearance.nic.in/writereaddata/FormA/Miningletter/111712131216T21YOSubsidencereportBalaghatmine.pdf,2026-09-05,REAL
1,label_status,Balaghat Mine Subsidence Report (forestsclearance.nic.in); MOIL,https://forestsclearance.nic.in/writereaddata/FormA/Miningletter/111712131216T21YOSubsidencereportBalaghatmine.pdf,2026-09-05,REAL
1,distance_to_nearest_known_mn_km,not applicable (positive sample),,2026-09-05,NOT_APPLICABLE
2,latitude/longitude,Roy 1962 Econ Geol 57(2):195-208; mindat.org loc-359215; environmentclearance.nic.in EIA doc,https://www.mindat.org/loc-359215.html,2026-09-05,REAL
2,district/state,Roy 1962 Econ Geol 57(2):195-208; mindat.org loc-359215; environmentclearance.nic.in EIA doc,https://www.mindat.org/loc-359215.html,2026-09-05,REAL
2,geological_group,Roy 1962 Econ Geol 57(2):195-208; mindat.org loc-359215; environmentclearance.nic.in EIA doc,https://www.mindat.org/loc-359215.html,2026-09-05,REAL
2,formation,Roy 1962 Econ Geol 57(2):195-208; mindat.org loc-359215; environmentclearance.nic.in EIA doc,https://www.mindat.org/loc-359215.html,2026-09-05,REAL
2,host_rock,Roy 1962 Econ Geol 57(2):195-208; mindat.org loc-359215; environmentclearance.nic.in EIA doc,https://www.mindat.org/loc-359215.html,2026-09-05,REAL
2,ore_type,Roy 1962 Econ Geol 57(2):195-208; mindat.org loc-359215; environmentclearance.nic.in EIA doc,https://www.mindat.org/loc-359215.html,2026-09-05,REAL
2,structural_notes,Roy 1962 Econ Geol 57(2):195-208; mindat.org loc-359215; environmentclearance.nic.in EIA doc,https://www.mindat.org/loc-359215.html,2026-09-05,REAL
2,geological_age,Roy 1962 Econ Geol 57(2):195-208; mindat.org loc-359215; environmentclearance.nic.in EIA doc,https://www.mindat.org/loc-359215.html,2026-09-05,REAL
2,metamorphic_grade,Roy 1962 Econ Geol 57(2):195-208; mindat.org loc-359215; environmentclearance.nic.in EIA doc,https://www.mindat.org/loc-359215.html,2026-09-05,REAL
2,label_status,Roy 1962 Econ Geol 57(2):195-208; mindat.org loc-359215; environmentclearance.nic.in EIA doc,https://www.mindat.org/loc-359215.html,2026-09-05,REAL
2,distance_to_nearest_known_mn_km,not applicable (positive sample),,2026-09-05,NOT_APPLICABLE
3,latitude/longitude,Wikipedia (Ukwa; MOIL); MOIL mine list,https://en.wikipedia.org/wiki/MOIL,2026-09-05,REAL
3,district/state,Wikipedia (Ukwa; MOIL); MOIL mine list,https://en.wikipedia.org/wiki/MOIL,2026-09-05,REAL
3,geological_group,Wikipedia (Ukwa; MOIL); MOIL mine list,https://en.wikipedia.org/wiki/MOIL,2026-09-05,REAL
3,formation,Wikipedia (Ukwa; MOIL); MOIL mine list,https://en.wikipedia.org/wiki/MOIL,2026-09-05,REAL
3,host_rock,Wikipedia (Ukwa; MOIL); MOIL mine list,https://en.wikipedia.org/wiki/MOIL,2026-09-05,REAL
3,ore_type,Wikipedia (Ukwa; MOIL); MOIL mine list,https://en.wikipedia.org/wiki/MOIL,2026-09-05,REAL
3,structural_notes,Wikipedia (Ukwa; MOIL); MOIL mine list,https://en.wikipedia.org/wiki/MOIL,2026-09-05,REAL
3,geological_age,Wikipedia (Ukwa; MOIL); MOIL mine list,https://en.wikipedia.org/wiki/MOIL,2026-09-05,REAL
3,metamorphic_grade,Wikipedia (Ukwa; MOIL); MOIL mine list,https://en.wikipedia.org/wiki/MOIL,2026-09-05,REAL
3,label_status,Wikipedia (Ukwa; MOIL); MOIL mine list,https://en.wikipedia.org/wiki/MOIL,2026-09-05,REAL
3,distance_to_nearest_known_mn_km,not applicable (positive sample),,2026-09-05,NOT_APPLICABLE
